epoch;accuracy;loss;val_accuracy;val_loss
0;0.7662125;0.6254073709144005;0.9214139580726624;0.38832855224609375
1;0.94409937;0.18898572837728014;0.9582820534706116;0.18905286490917206
2;0.9675082;0.11267175033563771;0.9722222089767456;0.22845743596553802
3;0.97789353;0.08092281361121269;0.970889687538147;0.06272786855697632
4;0.98049825;0.07404167927408999;0.9747847318649292;0.23701800405979156
5;0.98233485;0.07161214350433891;0.9583845734596252;0.17478705942630768
6;0.98413813;0.06295721928028963;0.9792947769165039;0.34474655985832214
7;0.9843051;0.06910876087732305;0.9793972969055176;0.20804691314697266
8;0.9841715;0.0737262842544621;0.9766297936439514;0.00025862857000902295
9;0.9847058;0.07103592082143637;0.9761172533035278;0.3250063359737396
10;0.7702865;0.05545068921662314;0.30729806423187256;1.1920930376163597e-07
11;0.2765979;1.1920930376163597e-07;0.3090405762195587;1.1920930376163597e-07
12;0.27593002;1.1920930376163597e-07;0.3069905638694763;1.1920930376163597e-07
13;0.27613038;1.1920930376163597e-07;0.3106805980205536;1.1920930376163597e-07
14;0.27603018;1.1920930376163597e-07;0.3050430417060852;1.1920930376163597e-07
15;0.2765311;1.1920930376163597e-07;0.31078311800956726;1.1920930376163597e-07
16;0.27579644;1.1920930376163597e-07;0.30524805188179016;1.1920930376163597e-07
17;0.27579644;1.1920930376163597e-07;0.3111931085586548;1.1920930376163597e-07
18;0.27633074;1.1920930376163597e-07;0.3060680627822876;1.1920930376163597e-07
19;0.2764309;1.1920930376163597e-07;0.30832308530807495;1.1920930376163597e-07
